Price_Lakhs,Area_SqFt,BHK,Property_Type,Furnishing_Status,Locality,Locality_Tier,Seller_Type,Under_Construction,Amenities_Count,Source_Website
280.0,210.0,3.0,Apartment,Furnished,Ranip,Tier 2,Owner,False,0,MagicBricks
279.0,2046.0,4.0,Apartment,Furnished,Shilaj,Tier 2,Owner,False,2,MagicBricks
277.0,2252.0,4.0,Apartment,Furnished,Science City,Tier 2,Owner,True,3,MagicBricks
275.0,3282.0,5.0,Apartment,Furnished,Chharodi,Tier 3,Dealer,True,2,MagicBricks
275.0,5350.0,4.0,Apartment,Furnished,Shela,Tier 2,Owner,False,1,MagicBricks
275.0,2105.0,3.0,Apartment,Furnished,Unknown,Tier 3,Owner,False,1,MagicBricks
275.0,5350.0,4.0,Apartment,Unfurnished,Shela,Tier 2,Unknown,False,1,99acres
275.0,5350.0,4.0,Apartment,Unfurnished,Shela,Tier 2,Unknown,False,1,99acres
275.0,5350.0,4.0,Apartment,Unfurnished,Shela,Tier 2,Owner,False,1,99acres
274.0,1750.0,4.0,Apartment,Furnished,Shilaj,Tier 2,Owner,True,3,MagicBricks
274.0,1750.0,4.0,Apartment,Furnished,Shilaj,Tier 2,Owner,True,3,MagicBricks
274.0,3430.0,4.0,Apartment,Furnished,Ramdev Nagar,Tier 3,Owner,True,2,MagicBricks
274.0,3430.0,4.0,Apartment,Furnished,Ramdev Nagar,Tier 3,Owner,True,2,MagicBricks
270.0,2400.0,4.0,Apartment,Furnished,Navrangpura,Tier 1,Owner,False,0,MagicBricks
267.0,3845.0,4.0,Apartment,Furnished,Bopal,Tier 1,Unknown,False,2,MagicBricks
265.0,235.0,2.0,Apartment,Semi-Furnished,Naranpura,Tier 2,Owner,False,0,MagicBricks
265.0,3000.0,4.0,Apartment,Furnished,Ambawadi,Tier 1,Owner,False,0,MagicBricks
265.0,2457.0,4.0,Apartment,Furnished,Bhat,Tier 3,Owner,True,2,MagicBricks
265.0,2005.0,4.0,Apartment,Furnished,Ambli,Tier 3,Owner,False,3,MagicBricks
265.0,2340.0,5.0,Apartment,Furnished,Ghuma,Tier 2,Owner,False,3,MagicBricks
265.0,2750.0,4.0,Apartment,Semi-Furnished,Sarkhej,Tier 3,Owner,False,0,MagicBricks
265.0,3000.0,3.0,Apartment,Furnished,Satellite,Tier 1,Owner,False,2,MagicBricks
265.0,2750.0,4.0,Apartment,Semi-Furnished,Sarkhej,Tier 3,Owner,False,0,MagicBricks
264.0,4130.0,4.0,Apartment,Furnished,Shela,Tier 2,Owner,True,2,MagicBricks
264.0,4130.0,4.0,Apartment,Furnished,Shela,Tier 2,Owner,True,2,MagicBricks
261.0,1904.0,4.0,Apartment,Semi-Furnished,Bodakdev,Tier 1,Owner,False,3,MagicBricks
261.0,2362.0,4.0,Apartment,Furnished,Ghuma,Tier 2,Owner,False,3,MagicBricks
261.0,1904.0,4.0,Apartment,Semi-Furnished,Bodakdev,Tier 1,Owner,False,3,MagicBricks
260.0,1560.0,4.0,Apartment,Furnished,Chandkheda,Tier 2,Owner,False,0,MagicBricks
260.0,2200.0,3.0,Apartment,Furnished,Bopal,Tier 1,Owner,False,1,MagicBricks
260.0,2200.0,4.0,Apartment,Furnished,Shilaj,Tier 2,Dealer,True,0,MagicBricks
254.99999999999997,2342.0,4.0,Apartment,Furnished,Vaishno Devi,Tier 2,Owner,True,2,MagicBricks
254.99999999999997,2342.0,4.0,Apartment,Furnished,Vaishno Devi,Tier 2,Owner,True,2,MagicBricks
254.99999999999997,2275.0,4.0,Apartment,Furnished,Jagatpur,Tier 2,Owner,False,1,MagicBricks
250.99999999999997,5500.0,8.0,Apartment,Unfurnished,Ambawadi,Tier 1,Owner,False,0,99acres
250.99999999999997,2047.0,4.0,Apartment,Semi-Furnished,Gurukul,Tier 2,Owner,False,4,MagicBricks
250.99999999999997,5500.0,8.0,Apartment,Unfurnished,Ambawadi,Tier 1,Owner,False,0,99acres
250.0,3000.0,4.0,Apartment,Furnished,Sanathal,Tier 3,Owner,False,2,MagicBricks
250.0,868.0,3.0,Apartment,Semi-Furnished,Naroda,Tier 3,Owner,True,0,99acres
250.0,550.0,3.0,Apartment,Furnished,Gurukul,Tier 2,Owner,False,0,MagicBricks
250.0,5850.0,5.0,Apartment,Unfurnished,Naroda,Tier 3,Owner,False,1,99acres
250.0,2583.0,2.0,Apartment,Furnished,Chanakyapuri,Tier 3,Owner,False,3,MagicBricks
250.0,5850.0,5.0,Apartment,Unfurnished,Naroda,Tier 3,Owner,False,1,99acres
250.0,5850.0,5.0,Apartment,Unfurnished,Naroda,Tier 3,Owner,False,1,99acres
250.0,2677.0,4.0,Apartment,Furnished,Vaishno Devi,Tier 2,Owner,False,3,MagicBricks
250.0,2677.0,4.0,Apartment,Furnished,Vaishno Devi,Tier 2,Owner,False,3,MagicBricks
250.0,3000.0,4.0,Apartment,Furnished,Navrangpura,Tier 1,Owner,False,0,MagicBricks
250.0,2385.0,3.0,Apartment,Furnished,Sola,Tier 2,Owner,False,0,MagicBricks
250.0,2154.0,4.0,Apartment,Furnished,Usmanpura,Tier 3,Owner,False,3,MagicBricks
250.0,2150.0,4.0,Apartment,Furnished,Ambli,Tier 3,Owner,False,0,MagicBricks
250.0,2385.0,3.0,Apartment,Furnished,Sola,Tier 2,Owner,False,0,MagicBricks
250.0,3000.0,4.0,Apartment,Furnished,Navrangpura,Tier 1,Owner,False,0,MagicBricks
250.0,868.0,3.0,Apartment,Semi-Furnished,Naroda,Tier 3,Owner,True,0,99acres
250.0,2507.0,3.0,Apartment,Furnished,Jodhpur,Tier 2,Owner,False,0,MagicBricks
250.0,1400.0,2.0,Apartment,Furnished,Bavla,Tier 2,Owner,False,1,MagicBricks
245.00000000000003,2230.0,3.0,Apartment,Furnished,Vastrapur,Tier 1,Owner,False,0,MagicBricks
245.00000000000003,2491.0,4.0,Apartment,Furnished,Science City,Tier 2,Dealer,True,0,MagicBricks
245.00000000000003,2230.0,3.0,Apartment,Furnished,Vastrapur,Tier 1,Owner,False,0,MagicBricks
245.00000000000003,3075.0,4.0,Apartment,Semi-Furnished,Bopal,Tier 1,Owner,False,2,MagicBricks
240.0,2865.0,4.0,Apartment,Furnished,Navrangpura,Tier 1,Unknown,False,0,99acres
240.0,2590.0,4.0,Apartment,Semi-Furnished,Ambli,Tier 3,Owner,False,3,MagicBricks
240.0,1447.0,4.0,Apartment,Semi-Furnished,Thaltej,Tier 1,Owner,False,4,MagicBricks
240.0,1567.0,4.0,Apartment,Furnished,Sanathal,Tier 3,Owner,False,2,MagicBricks
240.0,2300.0,4.0,Apartment,Furnished,Bopal,Tier 1,Owner,False,3,MagicBricks
240.0,2865.0,4.0,Apartment,Furnished,Navrangpura,Tier 1,Unknown,False,0,99acres
240.0,1447.0,4.0,Apartment,Semi-Furnished,Thaltej,Tier 1,Owner,False,4,MagicBricks
240.0,2865.0,4.0,Apartment,Furnished,Navrangpura,Tier 1,Owner,False,0,99acres
237.0,3568.0,4.0,Apartment,Furnished,Hebatpur,Tier 3,Owner,False,2,MagicBricks
237.0,3568.0,4.0,Apartment,Furnished,Hebatpur,Tier 3,Owner,False,2,MagicBricks
236.0,3380.0,4.0,Apartment,Furnished,Bodakdev,Tier 1,Owner,False,3,MagicBricks
236.0,3380.0,4.0,Apartment,Furnished,Bodakdev,Tier 1,Owner,False,3,MagicBricks
235.0,2709.0,4.0,Apartment,Furnished,Makarba,Tier 2,Dealer,True,0,MagicBricks
231.0,1760.0,4.0,Apartment,Furnished,Vaishno Devi,Tier 2,Owner,True,2,MagicBricks
229.99999999999997,3200.0,4.0,Apartment,Unfurnished,Hebatpur,Tier 3,Owner,False,0,MagicBricks
229.99999999999997,1743.0,4.0,Apartment,Furnished,Ambli,Tier 3,Owner,False,0,MagicBricks
229.99999999999997,2065.0,4.0,Apartment,Furnished,Vaishno Devi,Tier 2,Owner,True,3,MagicBricks
229.99999999999997,3855.0,5.0,Apartment,Furnished,Bopal,Tier 1,Owner,False,2,MagicBricks
229.99999999999997,3000.0,4.0,Apartment,Furnished,Jodhpur,Tier 2,Owner,False,2,MagicBricks
229.99999999999997,3000.0,4.0,Apartment,Furnished,Jodhpur,Tier 2,Owner,False,2,MagicBricks
229.0,1785.0,4.0,Apartment,Furnished,Vaishno Devi,Tier 2,Owner,False,3,MagicBricks
227.99999999999997,1895.0,4.0,Apartment,Furnished,Sarkhej,Tier 3,Owner,True,2,MagicBricks
227.99999999999997,1895.0,4.0,Apartment,Furnished,Sarkhej,Tier 3,Owner,True,2,MagicBricks
225.0,2200.0,4.0,Apartment,Furnished,Gokuldham,Tier 2,Owner,False,2,MagicBricks
225.0,1575.0,4.0,Independent House,Semi-Furnished,Ghatlodia,Tier 2,Owner,False,3,99acres
225.0,1650.0,4.0,Apartment,Semi-Furnished,Isanpur,Tier 2,Owner,False,3,MagicBricks
225.0,1070.0,3.0,Apartment,Semi-Furnished,Ashram road,Tier 2,Owner,False,1,MagicBricks
225.0,2200.0,4.0,Apartment,Furnished,Koteshwar,Tier 3,Owner,True,2,MagicBricks
225.0,945.0,4.0,Apartment,Furnished,Navrangpura,Tier 1,Owner,False,2,MagicBricks
225.0,1485.0,4.0,Apartment,Furnished,Bopal,Tier 1,Owner,False,2,MagicBricks
225.0,1750.0,3.0,Apartment,Furnished,Thaltej,Tier 1,Owner,False,3,MagicBricks
225.0,1700.0,4.0,Apartment,Furnished,Shela,Tier 2,Owner,True,2,MagicBricks
225.0,2574.0,4.0,Apartment,Furnished,Bopal,Tier 1,Owner,False,2,MagicBricks
225.0,1575.0,4.0,Independent House,Semi-Furnished,Ghatlodia,Tier 2,Unknown,False,3,99acres
225.0,1421.0,3.0,Apartment,Furnished,Navrangpura,Tier 1,Owner,False,0,MagicBricks
225.0,2200.0,4.0,Apartment,Furnished,Gokuldham,Tier 2,Owner,False,2,MagicBricks
225.0,1575.0,4.0,Independent House,Semi-Furnished,Ghatlodia,Tier 2,Unknown,False,3,99acres
225.0,1518.0,2.0,Apartment,Semi-Furnished,Bopal,Tier 1,Owner,False,2,MagicBricks
222.00000000000003,3900.0,4.0,Apartment,Furnished,Bopal,Tier 1,Owner,True,1,MagicBricks
220.00000000000003,2125.0,4.0,Apartment,Furnished,Sarkhej,Tier 3,Owner,True,2,MagicBricks
220.00000000000003,3300.0,5.0,Apartment,Furnished,Bodakdev,Tier 1,Owner,False,2,MagicBricks
220.00000000000003,2095.0,4.0,Apartment,Furnished,Makarba,Tier 2,Owner,True,1,MagicBricks
220.00000000000003,2700.0,3.0,Apartment,Semi-Furnished,Gota,Tier 2,Owner,False,0,MagicBricks
220.00000000000003,2095.0,4.0,Apartment,Furnished,Makarba,Tier 2,Owner,True,1,MagicBricks
218.00000000000003,2763.0,3.0,Independent House,Unfurnished,Navrangpura,Tier 1,Owner,False,0,99acres
218.00000000000003,2763.0,3.0,Independent House,Unfurnished,Navrangpura,Tier 1,Builder,False,0,99acres
218.00000000000003,2763.0,3.0,Independent House,Unfurnished,Navrangpura,Tier 1,Builder,False,0,99acres
217.0,2097.0,4.0,Apartment,Furnished,Bopal,Tier 1,Owner,True,3,MagicBricks
217.0,2097.0,4.0,Apartment,Furnished,Bopal,Tier 1,Dealer,True,0,MagicBricks
215.0,3950.0,4.0,Apartment,Furnished,Koteshwar,Tier 3,Owner,False,1,MagicBricks
215.0,200.0,3.0,Apartment,Furnished,Vastrapur,Tier 1,Owner,False,3,MagicBricks
215.0,2160.0,4.0,Apartment,Furnished,Gota,Tier 2,Owner,False,3,MagicBricks
215.0,3950.0,4.0,Apartment,Furnished,Koteshwar,Tier 3,Owner,False,1,MagicBricks
215.0,1347.0,3.0,Apartment,Furnished,Vaishno Devi,Tier 2,Owner,False,0,MagicBricks
215.0,1350.0,3.0,Apartment,Furnished,Vastrapur,Tier 1,Owner,False,2,MagicBricks
215.0,1350.0,3.0,Apartment,Furnished,Vastrapur,Tier 1,Owner,False,2,MagicBricks
215.0,1347.0,3.0,Apartment,Furnished,Vaishno Devi,Tier 2,Owner,False,0,MagicBricks
215.0,3006.0,4.0,Apartment,Unfurnished,Bhadaj,Tier 3,Unknown,False,1,99acres
215.0,3006.0,4.0,Apartment,Unfurnished,Bhadaj,Tier 3,Dealer,False,1,99acres
215.0,1605.0,4.0,Apartment,Furnished,Navrangpura,Tier 1,Owner,False,3,MagicBricks
215.0,1554.0,3.0,Apartment,Furnished,Bopal,Tier 1,Owner,False,3,MagicBricks
215.0,2160.0,4.0,Apartment,Furnished,Gota,Tier 2,Owner,False,3,MagicBricks
215.0,3006.0,4.0,Apartment,Unfurnished,Bhadaj,Tier 3,Unknown,False,1,99acres
211.0,3159.0,4.0,Apartment,Furnished,Gota,Tier 2,Owner,False,2,MagicBricks
211.0,3159.0,4.0,Apartment,Furnished,Gota,Tier 2,Owner,False,2,MagicBricks
211.0,1893.0,4.0,Apartment,Furnished,Naranpura,Tier 2,Owner,False,2,MagicBricks
210.0,2250.0,3.0,Apartment,Furnished,Vastrapur,Tier 1,Owner,False,1,MagicBricks
210.0,4850.0,4.0,Apartment,Semi-Furnished,Hansol,Tier 3,Owner,False,0,MagicBricks
210.0,3000.0,5.0,Apartment,Furnished,Paldi,Tier 1,Owner,False,1,MagicBricks
210.0,2838.0,3.0,Apartment,Furnished,Ambli,Tier 3,Owner,False,0,MagicBricks
210.0,1885.0,3.0,Apartment,Furnished,Vastrapur,Tier 1,Owner,False,2,MagicBricks
210.0,2250.0,3.0,Apartment,Furnished,Vastrapur,Tier 1,Owner,False,1,MagicBricks
210.0,2838.0,4.0,Apartment,Furnished,Ambli,Tier 3,Owner,False,0,MagicBricks
209.0,2114.0,4.0,Apartment,Furnished,Bopal,Tier 1,Owner,False,2,MagicBricks
209.0,2114.0,4.0,Apartment,Furnished,Bopal,Tier 1,Owner,False,2,MagicBricks
206.0,1743.0,4.0,Apartment,Furnished,Ambli,Tier 3,Owner,False,2,MagicBricks
204.99999999999997,2456.0,4.0,Apartment,Furnished,Odhav,Tier 2,Owner,False,2,MagicBricks
204.99999999999997,2788.0,3.0,Apartment,Furnished,Science City,Tier 2,Owner,False,0,MagicBricks
204.99999999999997,2960.0,4.0,Apartment,Furnished,Bopal,Tier 1,Unknown,False,2,MagicBricks
204.99999999999997,2456.0,4.0,Apartment,Furnished,Odhav,Tier 2,Owner,False,2,MagicBricks
204.99999999999997,2788.0,3.0,Apartment,Furnished,Science City,Tier 2,Owner,False,0,MagicBricks
202.99999999999997,3445.0,4.0,Apartment,Furnished,Thaltej,Tier 1,Owner,False,0,MagicBricks
200.99999999999997,3447.0,4.0,Apartment,Furnished,Thaltej,Tier 1,Owner,False,0,MagicBricks
200.99999999999997,2124.0,4.0,Apartment,Furnished,Vaishno Devi,Tier 2,Owner,True,3,MagicBricks
200.99999999999997,3475.0,4.0,Apartment,Furnished,Thaltej,Tier 1,Owner,False,0,MagicBricks
200.0,3000.0,4.0,Apartment,Semi-Furnished,Naranpura,Tier 2,Owner,False,1,MagicBricks
200.0,3075.0,4.0,Apartment,Furnished,Bopal,Tier 1,Owner,False,0,MagicBricks
200.0,1320.0,3.0,Apartment,Furnished,Ambli,Tier 3,Owner,False,0,MagicBricks
200.0,3151.0,4.0,Apartment,Furnished,Shela,Tier 2,Owner,False,2,MagicBricks
200.0,248.0,4.0,Apartment,Furnished,Sughad,Tier 3,Owner,False,0,MagicBricks
200.0,2900.0,3.0,Apartment,Furnished,Chandkheda,Tier 2,Owner,False,0,MagicBricks
200.0,2400.0,3.0,Apartment,Furnished,Bopal,Tier 1,Dealer,False,2,MagicBricks
200.0,2838.0,3.0,Apartment,Furnished,Ambli,Tier 3,Owner,False,0,MagicBricks
200.0,2900.0,3.0,Apartment,Furnished,Chandkheda,Tier 2,Owner,False,0,MagicBricks
200.0,1200.0,3.0,Apartment,Furnished,Jodhpur,Tier 2,Owner,False,1,MagicBricks
200.0,2400.0,3.0,Apartment,Furnished,Bopal,Tier 1,Dealer,False,2,MagicBricks
