Price_Lakhs,Price_Category,Area_SqFt,BHK,Property_Type,Furnishing_Status,Locality,Locality_Tier,Seller_Type,Under_Construction,Amenities_Count,Area_Per_BHK,Is_Large_Apartment,Is_Premium_Locality,Is_Budget_Locality,BHK_Area_Combo,High_Amenity,Construction_Category,Locality_Property_Count,Locality_Median_Area,Locality_Common_BHK,Locality_Median_Price,Source_Website
325.0,320-340L,2500.0,4.0,Apartment,Furnished,Jodhpur,Tier 2,Owner,False,2,625.0,1,0,0,4.0_Large,0,Ready_To_Move,15,1320.0,3.0,185.0,MagicBricks
325.0,320-340L,2000.0,4.0,Apartment,Furnished,Nikol,Tier 2,Owner,False,0,500.0,1,0,0,4.0_Large,0,Ready_To_Move,81,1000.0,2.0,48.0,MagicBricks
325.0,320-340L,5706.0,4.0,Apartment,Furnished,Shilaj,Tier 2,Owner,True,4,1426.5,1,0,0,4.0_XLarge,1,Under_Construction,112,1350.0,3.0,87.0,MagicBricks
322.0,320-340L,3705.0,5.0,Apartment,Furnished,Makarba,Tier 2,Dealer,True,0,741.0,1,0,0,5.0_XLarge,0,Under_Construction,23,1663.0,3.0,93.0,MagicBricks
317.0,300-320L,2458.0,4.0,Apartment,Furnished,Thaltej,Tier 1,Owner,True,4,614.5,1,1,0,4.0_Large,1,Under_Construction,59,1899.0,3.0,150.0,MagicBricks
317.0,300-320L,4610.0,5.0,Apartment,Furnished,Bopal,Tier 1,Unknown,False,2,922.0,1,1,0,5.0_XLarge,0,Ready_To_Move,240,1435.0,3.0,80.0,MagicBricks
315.0,300-320L,2835.0,4.0,Independent House,Furnished,Bhadaj,Tier 3,Unknown,False,1,708.75,1,0,1,4.0_Large,0,Ready_To_Move,23,2178.0,3.0,155.0,99acres
315.0,300-320L,2835.0,4.0,Independent House,Furnished,Bhadaj,Tier 3,Dealer,False,1,708.75,1,0,1,4.0_Large,0,Ready_To_Move,23,2178.0,3.0,155.0,99acres
315.0,300-320L,2835.0,4.0,Independent House,Furnished,Bhadaj,Tier 3,Unknown,False,1,708.75,1,0,1,4.0_Large,0,Ready_To_Move,23,2178.0,3.0,155.0,99acres
312.0,300-320L,3695.0,4.0,Apartment,Furnished,Satellite,Tier 1,Owner,True,2,923.75,1,1,0,4.0_XLarge,0,Under_Construction,67,1350.0,3.0,131.0,MagicBricks
311.0,300-320L,2620.0,4.0,Apartment,Semi-Furnished,Shilaj,Tier 2,Owner,True,3,655.0,1,0,0,4.0_Large,1,Under_Construction,112,1350.0,3.0,87.0,MagicBricks
311.0,300-320L,4230.0,4.0,Apartment,Furnished,Ambli,Tier 3,Owner,True,0,1057.5,1,0,1,4.0_XLarge,0,Under_Construction,49,2166.0,4.0,210.0,MagicBricks
311.0,300-320L,4230.0,4.0,Apartment,Furnished,Ambli,Tier 3,Owner,True,0,1057.5,1,0,1,4.0_XLarge,0,Under_Construction,49,2166.0,4.0,210.0,MagicBricks
311.0,300-320L,2035.0,4.0,Apartment,Furnished,Ambli,Tier 3,Owner,True,1,508.75,1,0,1,4.0_Large,0,Under_Construction,49,2166.0,4.0,210.0,MagicBricks
310.0,300-320L,3538.0,4.0,Apartment,Furnished,Shela,Tier 2,Owner,False,0,884.5,1,0,0,4.0_XLarge,0,Ready_To_Move,216,1250.0,3.0,72.0,MagicBricks
310.0,300-320L,3538.0,4.0,Apartment,Furnished,Shela,Tier 2,Owner,False,0,884.5,1,0,0,4.0_XLarge,0,Ready_To_Move,216,1250.0,3.0,72.0,MagicBricks
310.0,300-320L,2871.0,5.0,Apartment,Semi-Furnished,Maninagar,Tier 2,Owner,False,0,574.2,1,0,0,5.0_Large,0,Ready_To_Move,83,990.0,2.0,51.0,MagicBricks
308.0,300-320L,2256.0,4.0,Apartment,Furnished,Hebatpur,Tier 3,Owner,True,3,564.0,1,0,1,4.0_Large,1,Under_Construction,4,3384.0,4.0,237.0,MagicBricks
307.0,300-320L,2534.0,4.0,Apartment,Furnished,Science City,Tier 2,Owner,True,4,633.5,1,0,0,4.0_Large,1,Under_Construction,31,1890.0,3.0,181.0,MagicBricks
305.0,300-320L,2583.0,4.0,Independent House,Unfurnished,Vastral,Tier 2,Owner,False,0,645.75,1,0,0,4.0_Large,0,Ready_To_Move,70,1053.0,2.0,45.0,99acres
305.0,300-320L,3591.0,4.0,Apartment,Unfurnished,Gota,Tier 2,Owner,False,1,897.75,1,0,0,4.0_XLarge,0,Ready_To_Move,136,1305.0,3.0,85.0,99acres
305.0,300-320L,2583.0,4.0,Independent House,Unfurnished,Vastral,Tier 2,Unknown,False,0,645.75,1,0,0,4.0_Large,0,Ready_To_Move,70,1053.0,2.0,45.0,99acres
305.0,300-320L,3591.0,4.0,Apartment,Unfurnished,Gota,Tier 2,Unknown,False,1,897.75,1,0,0,4.0_XLarge,0,Ready_To_Move,136,1305.0,3.0,85.0,99acres
305.0,300-320L,3591.0,4.0,Apartment,Unfurnished,Gota,Tier 2,Unknown,False,1,897.75,1,0,0,4.0_XLarge,0,Ready_To_Move,136,1305.0,3.0,85.0,99acres
305.0,300-320L,2583.0,4.0,Independent House,Unfurnished,Vastral,Tier 2,Unknown,False,0,645.75,1,0,0,4.0_Large,0,Ready_To_Move,70,1053.0,2.0,45.0,99acres
304.0,300-320L,2327.0,4.0,Apartment,Furnished,Ambli,Tier 3,Dealer,True,0,581.75,1,0,1,4.0_Large,0,Under_Construction,49,2166.0,4.0,210.0,MagicBricks
302.0,300-320L,2772.0,5.0,Apartment,Furnished,Shela,Tier 2,Dealer,True,0,554.4,1,0,0,5.0_Large,0,Under_Construction,216,1250.0,3.0,72.0,MagicBricks
302.0,300-320L,3538.0,4.0,Apartment,Furnished,Shela,Tier 2,Owner,False,0,884.5,1,0,0,4.0_XLarge,0,Ready_To_Move,216,1250.0,3.0,72.0,MagicBricks
302.0,300-320L,2772.0,5.0,Apartment,Furnished,Shela,Tier 2,Dealer,True,0,554.4,1,0,0,5.0_Large,0,Under_Construction,216,1250.0,3.0,72.0,MagicBricks
301.0,300-320L,2750.0,4.0,Apartment,Furnished,Sola,Tier 2,Owner,False,3,687.5,1,0,0,4.0_Large,1,Ready_To_Move,22,1667.5,3.0,120.0,MagicBricks
301.0,300-320L,2750.0,4.0,Apartment,Furnished,Sola,Tier 2,Owner,False,3,687.5,1,0,0,4.0_Large,1,Ready_To_Move,22,1667.5,3.0,120.0,MagicBricks
300.0,280-300L,350.0,4.0,Apartment,Furnished,Bopal,Tier 1,Owner,False,1,87.5,1,1,0,4.0_Small,0,Ready_To_Move,240,1435.0,3.0,80.0,MagicBricks
300.0,280-300L,3538.0,4.0,Apartment,Furnished,Shela,Tier 2,Owner,False,0,884.5,1,0,0,4.0_XLarge,0,Ready_To_Move,216,1250.0,3.0,72.0,MagicBricks
300.0,280-300L,2310.0,4.0,Apartment,Furnished,Bodakdev,Tier 1,Owner,False,2,577.5,1,1,0,4.0_Large,0,Ready_To_Move,33,2160.0,4.0,175.0,MagicBricks
300.0,280-300L,3000.0,4.0,Apartment,Semi-Furnished,Motera,Tier 2,Owner,False,0,750.0,1,0,0,4.0_Large,0,Ready_To_Move,34,1637.5,3.0,90.0,MagicBricks
300.0,280-300L,4550.0,4.0,Apartment,Furnished,Hansol,Tier 3,Owner,False,2,1137.5,1,0,1,4.0_XLarge,0,Ready_To_Move,11,1350.0,4.0,56.5,MagicBricks
300.0,280-300L,2835.0,4.0,Apartment,Furnished,Manipur,Tier 3,Owner,False,3,708.75,1,0,1,4.0_Large,1,Ready_To_Move,7,1000.0,2.0,45.0,MagicBricks
300.0,280-300L,3220.0,4.0,Apartment,Semi-Furnished,Sarkhej,Tier 3,Owner,False,0,805.0,1,0,1,4.0_XLarge,0,Ready_To_Move,76,872.5,2.0,52.75,MagicBricks
300.0,280-300L,1925.0,4.0,Apartment,Furnished,Thaltej,Tier 1,Owner,False,1,481.25,1,1,0,4.0_Large,0,Ready_To_Move,59,1899.0,3.0,150.0,MagicBricks
300.0,280-300L,2500.0,4.0,Apartment,Semi-Furnished,Thaltej,Tier 1,Owner,False,2,625.0,1,1,0,4.0_Large,0,Ready_To_Move,59,1899.0,3.0,150.0,MagicBricks
300.0,280-300L,2500.0,4.0,Apartment,Semi-Furnished,Thaltej,Tier 1,Owner,False,2,625.0,1,1,0,4.0_Large,0,Ready_To_Move,59,1899.0,3.0,150.0,MagicBricks
300.0,280-300L,2350.0,4.0,Apartment,Furnished,Ambli,Tier 3,Owner,True,1,587.5,1,0,1,4.0_Large,0,Under_Construction,49,2166.0,4.0,210.0,MagicBricks
300.0,280-300L,2350.0,4.0,Apartment,Furnished,Ambli,Tier 3,Owner,True,1,587.5,1,0,1,4.0_Large,0,Under_Construction,49,2166.0,4.0,210.0,MagicBricks
300.0,280-300L,2750.0,3.0,Apartment,Unfurnished,Shahibaug,Tier 2,Owner,False,0,916.6666666666666,0,0,0,3.0_Large,0,Ready_To_Move,7,2430.0,3.0,175.0,99acres
300.0,280-300L,3250.0,5.0,Apartment,Furnished,Bopal,Tier 1,Owner,True,2,650.0,1,1,0,5.0_XLarge,0,Under_Construction,240,1435.0,3.0,80.0,MagicBricks
300.0,280-300L,2310.0,4.0,Apartment,Furnished,Bodakdev,Tier 1,Owner,False,2,577.5,1,1,0,4.0_Large,0,Ready_To_Move,33,2160.0,4.0,175.0,MagicBricks
300.0,280-300L,2750.0,3.0,Apartment,Unfurnished,Shahibaug,Tier 2,Unknown,False,0,916.6666666666666,0,0,0,3.0_Large,0,Ready_To_Move,7,2430.0,3.0,175.0,99acres
300.0,280-300L,2000.0,4.0,Apartment,Furnished,New CG Road,Tier 1,Owner,False,3,500.0,1,1,0,4.0_Large,1,Ready_To_Move,7,1242.0,2.0,105.0,MagicBricks
300.0,280-300L,2750.0,3.0,Apartment,Unfurnished,Shahibaug,Tier 2,Unknown,False,0,916.6666666666666,0,0,0,3.0_Large,0,Ready_To_Move,7,2430.0,3.0,175.0,99acres
300.0,280-300L,2150.0,6.0,Apartment,Semi-Furnished,Vasna,Tier 2,Owner,False,0,358.3333333333333,1,0,0,6.0_Large,0,Ready_To_Move,42,882.0,2.0,60.0,MagicBricks
300.0,280-300L,4550.0,4.0,Apartment,Furnished,Hansol,Tier 3,Owner,False,2,1137.5,1,0,1,4.0_XLarge,0,Ready_To_Move,11,1350.0,4.0,56.5,MagicBricks
298.0,280-300L,3230.0,4.0,Apartment,Furnished,Ambli,Tier 3,Owner,True,2,807.5,1,0,1,4.0_XLarge,0,Under_Construction,49,2166.0,4.0,210.0,MagicBricks
297.0,280-300L,3230.0,4.0,Apartment,Furnished,Ambli,Tier 3,Dealer,True,0,807.5,1,0,1,4.0_XLarge,0,Under_Construction,49,2166.0,4.0,210.0,MagicBricks
297.0,280-300L,3230.0,4.0,Apartment,Furnished,Ambli,Tier 3,Dealer,False,0,807.5,1,0,1,4.0_XLarge,0,Ready_To_Move,49,2166.0,4.0,210.0,MagicBricks
295.0,280-300L,1850.0,4.0,Apartment,Furnished,Ambli,Tier 3,Owner,False,0,462.5,1,0,1,4.0_Large,0,Ready_To_Move,49,2166.0,4.0,210.0,MagicBricks
295.0,280-300L,1850.0,4.0,Apartment,Furnished,Ambli,Tier 3,Owner,False,0,462.5,1,0,1,4.0_Large,0,Ready_To_Move,49,2166.0,4.0,210.0,MagicBricks
294.0,280-300L,4608.0,4.0,Apartment,Furnished,Science City,Tier 2,Dealer,True,0,1152.0,1,0,0,4.0_XLarge,0,Under_Construction,31,1890.0,3.0,181.0,MagicBricks
290.0,280-300L,2220.0,4.0,Apartment,Semi-Furnished,Sarkhej,Tier 3,Owner,False,3,555.0,1,0,1,4.0_Large,1,Ready_To_Move,76,872.5,2.0,52.75,MagicBricks
290.0,280-300L,1827.0,4.0,Independent House,Unfurnished,Naroda,Tier 3,Owner,False,0,456.75,1,0,1,4.0_Large,0,Ready_To_Move,91,1035.0,2.0,47.0,99acres
290.0,280-300L,2835.0,4.0,Apartment,Furnished,Nikol,Tier 2,Owner,False,1,708.75,1,0,0,4.0_Large,0,Ready_To_Move,81,1000.0,2.0,48.0,MagicBricks
290.0,280-300L,1827.0,4.0,Independent House,Unfurnished,Naroda,Tier 3,Unknown,False,0,456.75,1,0,1,4.0_Large,0,Ready_To_Move,91,1035.0,2.0,47.0,99acres
290.0,280-300L,2835.0,4.0,Apartment,Furnished,Nikol,Tier 2,Owner,False,1,708.75,1,0,0,4.0_Large,0,Ready_To_Move,81,1000.0,2.0,48.0,MagicBricks
290.0,280-300L,2200.0,4.0,Apartment,Furnished,Shela,Tier 2,Owner,True,2,550.0,1,0,0,4.0_Large,0,Under_Construction,216,1250.0,3.0,72.0,MagicBricks
290.0,280-300L,1827.0,4.0,Independent House,Unfurnished,Naroda,Tier 3,Unknown,False,0,456.75,1,0,1,4.0_Large,0,Ready_To_Move,91,1035.0,2.0,47.0,99acres
288.0,280-300L,3850.0,4.0,Apartment,Furnished,Ambli,Tier 3,Owner,False,0,962.5,1,0,1,4.0_XLarge,0,Ready_To_Move,49,2166.0,4.0,210.0,MagicBricks
288.0,280-300L,3850.0,4.0,Apartment,Furnished,Ambli,Tier 3,Owner,False,0,962.5,1,0,1,4.0_XLarge,0,Ready_To_Move,49,2166.0,4.0,210.0,MagicBricks
288.0,280-300L,3850.0,4.0,Apartment,Semi-Furnished,Ambli,Tier 3,Owner,False,0,962.5,1,0,1,4.0_XLarge,0,Ready_To_Move,49,2166.0,4.0,210.0,MagicBricks
288.0,280-300L,3850.0,4.0,Apartment,Furnished,Ambli,Tier 3,Owner,False,0,962.5,1,0,1,4.0_XLarge,0,Ready_To_Move,49,2166.0,4.0,210.0,MagicBricks
288.0,280-300L,3850.0,4.0,Apartment,Furnished,Ambli,Tier 3,Owner,False,0,962.5,1,0,1,4.0_XLarge,0,Ready_To_Move,49,2166.0,4.0,210.0,MagicBricks
288.0,280-300L,4509.0,4.0,Apartment,Furnished,Science City,Tier 2,Dealer,True,0,1127.25,1,0,0,4.0_XLarge,0,Under_Construction,31,1890.0,3.0,181.0,MagicBricks
288.0,280-300L,4509.0,4.0,Apartment,Furnished,Science City,Tier 2,Dealer,True,0,1127.25,1,0,0,4.0_XLarge,0,Under_Construction,31,1890.0,3.0,181.0,MagicBricks
288.0,280-300L,4509.0,4.0,Apartment,Furnished,Science City,Tier 2,Owner,True,2,1127.25,1,0,0,4.0_XLarge,0,Under_Construction,31,1890.0,3.0,181.0,MagicBricks
288.0,280-300L,3850.0,4.0,Apartment,Furnished,Ambli,Tier 3,Owner,False,0,962.5,1,0,1,4.0_XLarge,0,Ready_To_Move,49,2166.0,4.0,210.0,MagicBricks
285.0,280-300L,1332.0,3.0,Apartment,Furnished,Bopal,Tier 1,Owner,False,2,444.0,0,1,0,3.0_Medium,0,Ready_To_Move,240,1435.0,3.0,80.0,MagicBricks
285.0,280-300L,1332.0,3.0,Apartment,Furnished,Bopal,Tier 1,Owner,False,2,444.0,0,1,0,3.0_Medium,0,Ready_To_Move,240,1435.0,3.0,80.0,MagicBricks
285.0,280-300L,1575.0,4.0,Apartment,Furnished,Bopal,Tier 1,Owner,False,3,393.75,1,1,0,4.0_Large,1,Ready_To_Move,240,1435.0,3.0,80.0,MagicBricks
285.0,280-300L,300.0,4.0,Apartment,Furnished,Sarkhej,Tier 3,Owner,False,0,75.0,1,0,1,4.0_Small,0,Ready_To_Move,76,872.5,2.0,52.75,MagicBricks
281.0,280-300L,4680.0,6.0,Apartment,Semi-Furnished,Maninagar,Tier 2,Owner,False,0,780.0,1,0,0,6.0_XLarge,0,Ready_To_Move,83,990.0,2.0,51.0,MagicBricks
280.0,260-280L,2090.0,4.0,Apartment,Furnished,Gota,Tier 2,Owner,True,2,522.5,1,0,0,4.0_Large,0,Under_Construction,136,1305.0,3.0,85.0,MagicBricks
280.0,260-280L,2000.0,4.0,Apartment,Furnished,Ghuma,Tier 2,Owner,False,2,500.0,1,0,0,4.0_Large,0,Ready_To_Move,54,1202.5,2.0,63.0,MagicBricks
280.0,260-280L,2825.0,4.0,Apartment,Furnished,Bodakdev,Tier 1,Owner,False,2,706.25,1,1,0,4.0_Large,0,Ready_To_Move,33,2160.0,4.0,175.0,MagicBricks
280.0,260-280L,2090.0,4.0,Apartment,Furnished,Gota,Tier 2,Owner,True,2,522.5,1,0,0,4.0_Large,0,Under_Construction,136,1305.0,3.0,85.0,MagicBricks
280.0,260-280L,2975.0,4.0,Apartment,Furnished,Motera,Tier 2,Owner,False,3,743.75,1,0,0,4.0_Large,1,Ready_To_Move,34,1637.5,3.0,90.0,MagicBricks
280.0,260-280L,210.0,3.0,Apartment,Furnished,Ranip,Tier 2,Owner,False,0,70.0,0,0,0,3.0_Small,0,Ready_To_Move,43,800.0,2.0,53.0,MagicBricks
279.0,260-280L,2046.0,4.0,Apartment,Furnished,Shilaj,Tier 2,Owner,False,2,511.5,1,0,0,4.0_Large,0,Ready_To_Move,112,1350.0,3.0,87.0,MagicBricks
277.0,260-280L,2252.0,4.0,Apartment,Furnished,Science City,Tier 2,Owner,True,3,563.0,1,0,0,4.0_Large,1,Under_Construction,31,1890.0,3.0,181.0,MagicBricks
275.0,260-280L,3282.0,5.0,Apartment,Furnished,Chharodi,Tier 3,Dealer,True,2,656.4,1,0,1,5.0_XLarge,0,Under_Construction,11,1737.0,3.0,115.0,MagicBricks
275.0,260-280L,5350.0,4.0,Apartment,Furnished,Shela,Tier 2,Owner,False,1,1337.5,1,0,0,4.0_XLarge,0,Ready_To_Move,216,1250.0,3.0,72.0,MagicBricks
275.0,260-280L,5350.0,4.0,Apartment,Unfurnished,Shela,Tier 2,Unknown,False,1,1337.5,1,0,0,4.0_XLarge,0,Ready_To_Move,216,1250.0,3.0,72.0,99acres
275.0,260-280L,5350.0,4.0,Apartment,Unfurnished,Shela,Tier 2,Unknown,False,1,1337.5,1,0,0,4.0_XLarge,0,Ready_To_Move,216,1250.0,3.0,72.0,99acres
275.0,260-280L,5350.0,4.0,Apartment,Unfurnished,Shela,Tier 2,Owner,False,1,1337.5,1,0,0,4.0_XLarge,0,Ready_To_Move,216,1250.0,3.0,72.0,99acres
274.0,260-280L,1750.0,4.0,Apartment,Furnished,Shilaj,Tier 2,Owner,True,3,437.5,1,0,0,4.0_Large,1,Under_Construction,112,1350.0,3.0,87.0,MagicBricks
274.0,260-280L,1750.0,4.0,Apartment,Furnished,Shilaj,Tier 2,Owner,True,3,437.5,1,0,0,4.0_Large,1,Under_Construction,112,1350.0,3.0,87.0,MagicBricks
274.0,260-280L,3430.0,4.0,Apartment,Furnished,Ramdev Nagar,Tier 3,Owner,True,2,857.5,1,0,1,4.0_XLarge,0,Under_Construction,3,3430.0,4.0,274.0,MagicBricks
274.0,260-280L,3430.0,4.0,Apartment,Furnished,Ramdev Nagar,Tier 3,Owner,True,2,857.5,1,0,1,4.0_XLarge,0,Under_Construction,3,3430.0,4.0,274.0,MagicBricks
270.0,260-280L,2400.0,4.0,Apartment,Furnished,Navrangpura,Tier 1,Owner,False,0,600.0,1,1,0,4.0_Large,0,Ready_To_Move,23,1605.0,3.0,215.0,MagicBricks
267.0,260-280L,3845.0,4.0,Apartment,Furnished,Bopal,Tier 1,Unknown,False,2,961.25,1,1,0,4.0_XLarge,0,Ready_To_Move,240,1435.0,3.0,80.0,MagicBricks
265.0,260-280L,235.0,2.0,Apartment,Semi-Furnished,Naranpura,Tier 2,Owner,False,0,117.5,0,0,0,2.0_Small,0,Ready_To_Move,23,1287.0,3.0,118.0,MagicBricks
265.0,260-280L,3000.0,4.0,Apartment,Furnished,Ambawadi,Tier 1,Owner,False,0,750.0,1,1,0,4.0_Large,0,Ready_To_Move,22,2250.0,3.0,166.5,MagicBricks
265.0,260-280L,2457.0,4.0,Apartment,Furnished,Bhat,Tier 3,Owner,True,2,614.25,1,0,1,4.0_Large,0,Under_Construction,11,1485.0,3.0,87.0,MagicBricks
265.0,260-280L,2005.0,4.0,Apartment,Furnished,Ambli,Tier 3,Owner,False,3,501.25,1,0,1,4.0_Large,1,Ready_To_Move,49,2166.0,4.0,210.0,MagicBricks
265.0,260-280L,2340.0,5.0,Apartment,Furnished,Ghuma,Tier 2,Owner,False,3,468.0,1,0,0,5.0_Large,1,Ready_To_Move,54,1202.5,2.0,63.0,MagicBricks
265.0,260-280L,2750.0,4.0,Apartment,Semi-Furnished,Sarkhej,Tier 3,Owner,False,0,687.5,1,0,1,4.0_Large,0,Ready_To_Move,76,872.5,2.0,52.75,MagicBricks
265.0,260-280L,3000.0,3.0,Apartment,Furnished,Satellite,Tier 1,Owner,False,2,1000.0,0,1,0,3.0_Large,0,Ready_To_Move,67,1350.0,3.0,131.0,MagicBricks
