Price_Lakhs,Area_SqFt,BHK,Property_Type,Furnishing_Status,Locality,Locality_Tier,Seller_Type,Under_Construction,Source_Website
125.0,1260.0,3.0,Apartment,Furnished,Shantipura,Tier 3,Owner,True,MagicBricks
58.0,1000.0,3.0,Apartment,Furnished,Naroda,Tier 3,Owner,False,MagicBricks
36.0,1100.0,2.0,Apartment,Semi-Furnished,Vastral,Tier 2,Owner,False,MagicBricks
32.0,1260.0,2.0,Apartment,Furnished,Sanand,Tier 2,Owner,False,MagicBricks
65.0,910.0,3.0,Apartment,Semi-Furnished,Bopal,Tier 1,Owner,False,MagicBricks
70.0,870.0,3.0,Apartment,Furnished,Chanakyapuri,Tier 3,Owner,False,MagicBricks
50.0,1215.0,2.0,Apartment,Furnished,Chandkheda,Tier 2,Owner,False,MagicBricks
290.0,2200.0,4.0,Apartment,Furnished,Shela,Tier 2,Owner,True,MagicBricks
67.0,1520.0,3.0,Apartment,Furnished,Shela,Tier 2,Owner,False,MagicBricks
210.0,2838.0,3.0,Apartment,Furnished,Ambli,Tier 3,Owner,False,MagicBricks
20.0,531.0,1.0,Apartment,Semi-Furnished,Vinzol,Tier 3,Owner,False,MagicBricks
70.0,817.0,3.0,Apartment,Furnished,Shela,Tier 2,Owner,False,MagicBricks
32.5,704.0,2.0,Apartment,Furnished,Bavla,Tier 2,Owner,False,MagicBricks
135.0,1985.0,3.0,Apartment,Semi-Furnished,Ellis Bridge,Tier 1,Owner,False,MagicBricks
65.0,1440.0,3.0,Apartment,Semi-Furnished,Nikol,Tier 2,Owner,False,MagicBricks
190.0,2456.0,4.0,Apartment,Furnished,Odhav,Tier 2,Owner,False,MagicBricks
76.0,966.0,3.0,Apartment,Semi-Furnished,Jagatpur,Tier 2,Owner,False,MagicBricks
148.0,1550.0,3.0,Apartment,Furnished,Chandkheda,Tier 2,Owner,False,MagicBricks
89.0,826.0,3.0,Apartment,Semi-Furnished,Vaishno Devi,Tier 2,Owner,False,MagicBricks
121.0,1171.0,4.0,Apartment,Semi-Furnished,Vatva,Tier 2,Owner,False,MagicBricks
53.0,1100.0,2.0,Apartment,Furnished,Sarkhej,Tier 3,Owner,False,MagicBricks
250.0,5850.0,5.0,Apartment,Unfurnished,Naroda,Tier 3,Owner,False,99acres
45.0,1170.0,2.0,Apartment,Furnished,Shela,Tier 2,Owner,False,MagicBricks
290.0,2200.0,4.0,Apartment,Furnished,Shela,Tier 2,Owner,True,MagicBricks
210.0,2838.0,4.0,Apartment,Furnished,Ambli,Tier 3,Owner,False,MagicBricks
141.0,1908.0,2.0,Apartment,Furnished,Ghuma,Tier 2,Owner,False,MagicBricks
55.0,559.0,2.0,Apartment,Furnished,Chandkheda,Tier 2,Owner,False,MagicBricks
68.0,1050.0,3.0,Apartment,Semi-Furnished,Naroda,Tier 3,Owner,False,MagicBricks
215.0,2500.0,3.0,Apartment,Furnished,Vastrapur,Tier 1,Owner,False,MagicBricks
81.0,1203.0,2.0,Apartment,Furnished,Vaishno Devi,Tier 2,Owner,False,MagicBricks
48.0,750.0,1.0,Apartment,Furnished,Gurukul,Tier 2,Owner,False,MagicBricks
190.0,1020.0,3.0,Apartment,Furnished,Naranpura,Tier 2,Owner,True,99acres
100.0,1040.0,3.0,Apartment,Semi-Furnished,Gota,Tier 2,Owner,False,MagicBricks
68.0,1262.0,2.0,Apartment,Unfurnished,Jagatpur,Tier 2,Owner,False,99acres
28.0,428.0,1.0,Apartment,Furnished,Vasna,Tier 2,Owner,False,MagicBricks
210.0,1733.0,4.0,Apartment,Furnished,Shela,Tier 2,Owner,False,MagicBricks
65.0,1200.0,2.0,Apartment,Furnished,Navrangpura,Tier 1,Owner,False,MagicBricks
100.0,1660.0,3.0,Apartment,Furnished,Kotarpur,Tier 3,Owner,False,MagicBricks
33.0,486.0,2.0,Apartment,Furnished,Naroda,Tier 3,Owner,False,MagicBricks
174.0,2514.0,3.0,Apartment,Furnished,Vaishno Devi,Tier 2,Owner,True,MagicBricks
39.6,1200.0,2.0,Apartment,Furnished,Shela,Tier 2,Owner,False,MagicBricks
95.0,1291.0,3.0,Apartment,Furnished,Tragad,Tier 2,Owner,False,MagicBricks
65.1,915.0,3.0,Apartment,Furnished,Chandkheda,Tier 2,Builder,False,MagicBricks
110.0,1737.0,3.0,Apartment,Furnished,Chharodi,Tier 3,Owner,False,MagicBricks
312.0,3695.0,4.0,Apartment,Furnished,Satellite,Tier 1,Owner,True,MagicBricks
65.0,880.0,3.0,Apartment,Semi-Furnished,Ranip,Tier 2,Owner,False,MagicBricks
95.0,1465.0,3.0,Apartment,Furnished,Bopal,Tier 1,Owner,False,MagicBricks
55.0,591.0,2.0,Apartment,Semi-Furnished,Vaishno Devi,Tier 2,Owner,False,MagicBricks
90.0,2232.0,5.0,Apartment,Furnished,Kankaria,Tier 2,Owner,False,MagicBricks
239.0,1752.0,4.0,Apartment,Furnished,Jodhpur,Tier 2,Builder,True,MagicBricks
66.4,700.0,2.0,Apartment,Furnished,Jagatpur,Tier 2,Owner,False,MagicBricks
125.0,1260.0,3.0,Apartment,Furnished,Shantipura,Tier 3,Owner,True,MagicBricks
60.0,1530.0,3.0,Apartment,Furnished,Vastral,Tier 2,Owner,False,MagicBricks
45.0,1000.0,2.0,Apartment,Furnished,Jashoda Nagar,Tier 3,Owner,False,MagicBricks
125.0,1500.0,3.0,Apartment,Furnished,Chandkheda,Tier 2,Owner,False,MagicBricks
93.0,1165.0,3.0,Apartment,Semi-Furnished,Prahlad Nagar,Tier 1,Owner,False,MagicBricks
21.5,510.0,1.0,Apartment,Semi-Furnished,Vinzol,Tier 3,Owner,False,MagicBricks
185.0,2520.0,3.0,Apartment,Furnished,Gota,Tier 2,Unknown,True,MagicBricks
17.0,675.0,1.0,Apartment,Semi-Furnished,Hathijan,Tier 3,Owner,False,MagicBricks
48.0,1350.0,3.0,Apartment,Furnished,Shilaj,Tier 2,Owner,False,MagicBricks
65.0,1260.0,2.0,Apartment,Furnished,Sarkhej,Tier 3,Owner,False,MagicBricks
206.0,1750.0,4.0,Apartment,Furnished,Ambli,Tier 3,Owner,False,MagicBricks
137.0,1400.0,3.0,Apartment,Furnished,Gulbai Tekra,Tier 1,Owner,False,MagicBricks
45.0,608.0,2.0,Apartment,Furnished,Naroda,Tier 3,Owner,False,MagicBricks
300.0,2835.0,4.0,Apartment,Furnished,Manipur,Tier 3,Owner,False,MagicBricks
51.5,570.0,2.0,Apartment,Furnished,Shela,Tier 2,Owner,False,MagicBricks
110.0,1225.0,3.0,Apartment,Furnished,Ambli,Tier 3,Owner,False,MagicBricks
45.9,1435.0,3.0,Apartment,Furnished,Shela,Tier 2,Owner,False,MagicBricks
150.0,567.0,3.0,Apartment,Furnished,Kotarpur,Tier 3,Owner,False,MagicBricks
44.0,740.0,2.0,Apartment,Furnished,Narol,Tier 2,Owner,False,MagicBricks
84.0,1025.0,3.0,Apartment,Furnished,Chandkheda,Tier 2,Owner,False,MagicBricks
40.0,981.0,2.0,Apartment,Semi-Furnished,Nikol,Tier 2,Owner,False,MagicBricks
253.0,1745.0,4.0,Apartment,Furnished,Thaltej,Tier 1,Owner,True,MagicBricks
75.0,663.0,2.0,Apartment,Furnished,Shilaj,Tier 2,Owner,False,MagicBricks
67.5,1935.0,3.0,Apartment,Furnished,Chandkheda,Tier 2,Owner,False,MagicBricks
68.0,1262.0,2.0,Apartment,Unfurnished,Jagatpur,Tier 2,Unknown,False,99acres
75.0,1105.0,3.0,Apartment,Furnished,Ranip,Tier 2,Owner,False,MagicBricks
59.0,646.0,3.0,Apartment,Furnished,Vastral,Tier 2,Owner,False,MagicBricks
150.0,3300.0,5.0,Apartment,Furnished,Naranpura,Tier 2,Owner,False,MagicBricks
115.0,1905.0,3.0,Apartment,Semi-Furnished,Vaishno Devi,Tier 2,Owner,False,MagicBricks
85.0,890.0,3.0,Apartment,Semi-Furnished,Usmanpura,Tier 3,Owner,False,MagicBricks
50.0,990.0,2.0,Apartment,Furnished,Jagatpur,Tier 2,Owner,False,MagicBricks
21.0,810.0,1.0,Apartment,Furnished,Ghodasar,Tier 2,Owner,False,MagicBricks
135.0,2475.0,3.0,Apartment,Furnished,Science City,Tier 2,Owner,False,MagicBricks
110.0,1036.0,3.0,Apartment,Semi-Furnished,Shela,Tier 2,Owner,False,MagicBricks
274.0,2500.0,4.0,Apartment,Furnished,Shilaj,Tier 2,Owner,True,MagicBricks
67.0,1370.0,2.0,Apartment,Furnished,Vaishno Devi,Tier 2,Owner,False,MagicBricks
38.0,870.0,1.0,Apartment,Furnished,Saijpur Bogha,Tier 3,Owner,False,MagicBricks
89.0,913.0,2.0,Apartment,Semi-Furnished,Science City,Tier 2,Owner,False,MagicBricks
41.0,1458.0,2.0,Apartment,Furnished,Sanand,Tier 2,Owner,False,MagicBricks
35.0,1080.0,2.0,Apartment,Semi-Furnished,Vastral,Tier 2,Owner,False,MagicBricks
375.0,3650.0,3.0,Independent House,Unfurnished,Maninagar,Tier 2,Unknown,False,99acres
267.0,3845.0,4.0,Apartment,Furnished,Bopal,Tier 1,Unknown,False,MagicBricks
88.5,1269.0,2.0,Apartment,Semi-Furnished,Gota,Tier 2,Owner,False,MagicBricks
90.0,1296.0,2.0,Apartment,Semi-Furnished,Thaltej,Tier 1,Owner,False,MagicBricks
26.0,1026.0,2.0,Apartment,Furnished,Vinzol,Tier 3,Owner,False,MagicBricks
44.5,923.0,2.0,Apartment,Semi-Furnished,Shela,Tier 2,Owner,False,MagicBricks
50.0,945.0,2.0,Apartment,Semi-Furnished,Ghodasar,Tier 2,Owner,False,MagicBricks
20.0,585.0,1.0,Apartment,Furnished,Vastral,Tier 2,Owner,False,MagicBricks
130.0,2340.0,4.0,Apartment,Unfurnished,Sughad,Tier 3,Unknown,False,99acres
81.0,3000.0,3.0,Apartment,Semi-Furnished,Bopal,Tier 1,Owner,False,MagicBricks
200.0,1200.0,3.0,Apartment,Furnished,Jodhpur,Tier 2,Owner,False,MagicBricks
190.0,1810.0,4.0,Apartment,Furnished,Shela,Tier 2,Owner,False,MagicBricks
150.0,1000.0,3.0,Apartment,Furnished,Ghuma,Tier 2,Owner,False,MagicBricks
50.0,1320.0,2.0,Apartment,Semi-Furnished,Tragad,Tier 2,Owner,False,MagicBricks
87.0,900.0,3.0,Apartment,Furnished,Ghodasar,Tier 2,Owner,False,MagicBricks
201.0,2124.0,4.0,Apartment,Furnished,Vaishno Devi,Tier 2,Dealer,True,MagicBricks
210.0,3000.0,5.0,Apartment,Furnished,Paldi,Tier 1,Owner,False,MagicBricks
110.0,1260.0,4.0,Apartment,Furnished,Vastral,Tier 2,Owner,False,MagicBricks
133.0,2700.0,4.0,Apartment,Furnished,Bopal,Tier 1,Owner,False,MagicBricks
100.0,1863.0,3.0,Apartment,Furnished,Gota,Tier 2,Owner,False,MagicBricks
75.0,1545.0,3.0,Apartment,Furnished,Bopal,Tier 1,Owner,False,MagicBricks
99.0,1890.0,3.0,Apartment,Furnished,Chandkheda,Tier 2,Owner,False,MagicBricks
60.0,623.0,2.0,Apartment,Furnished,Vasna,Tier 2,Owner,False,MagicBricks
50.3,639.0,2.0,Apartment,Furnished,Jagatpur,Tier 2,Owner,True,MagicBricks
85.0,1485.0,3.0,Apartment,Furnished,Ghuma,Tier 2,Owner,False,MagicBricks
86.0,1417.0,3.0,Apartment,Semi-Furnished,Gota,Tier 2,Owner,False,MagicBricks
30.0,1037.0,2.0,Apartment,Semi-Furnished,Dholka,Tier 2,Owner,False,MagicBricks
78.0,1425.0,2.0,Apartment,Semi-Furnished,Vaishno Devi,Tier 2,Owner,False,MagicBricks
8.0,394.0,1.0,Apartment,Furnished,Aslali,Tier 3,Owner,False,MagicBricks
400.0,3500.0,5.0,Apartment,Semi-Furnished,Bopal,Tier 1,Owner,False,MagicBricks
75.0,1430.0,2.0,Apartment,Furnished,Maninagar,Tier 2,Owner,False,MagicBricks
150.0,2070.0,4.0,Apartment,Furnished,Thaltej,Tier 1,Owner,False,MagicBricks
176.0,1507.0,3.0,Apartment,Furnished,Shela,Tier 2,Owner,True,MagicBricks
59.51,1458.0,2.0,Apartment,Unfurnished,Vastral,Tier 2,Builder,True,99acres
200.0,2150.0,4.0,Apartment,Furnished,Chandkheda,Tier 2,Owner,False,MagicBricks
50.0,800.0,2.0,Apartment,Furnished,Ranip,Tier 2,Owner,False,MagicBricks
85.0,1395.0,3.0,Apartment,Furnished,Chandkheda,Tier 2,Owner,False,MagicBricks
125.0,1820.0,3.0,Apartment,Furnished,Motera,Tier 2,Owner,False,MagicBricks
110.0,913.0,4.0,Apartment,Furnished,Vejalpur,Tier 2,Owner,False,MagicBricks
105.0,1730.0,3.0,Apartment,Unfurnished,Jagatpur,Tier 2,Unknown,False,99acres
184.0,2810.0,3.0,Apartment,Furnished,Ambli,Tier 3,Owner,False,MagicBricks
55.0,1000.0,2.0,Apartment,Furnished,Nikol,Tier 2,Owner,False,MagicBricks
48.0,925.0,2.0,Apartment,Semi-Furnished,Tragad,Tier 2,Owner,False,MagicBricks
125.0,1350.0,3.0,Apartment,Furnished,Jagatpur,Tier 2,Owner,False,MagicBricks
110.0,1100.0,3.0,Apartment,Furnished,Bopal,Tier 1,Owner,False,MagicBricks
85.0,819.0,3.0,Apartment,Furnished,Jivrajpark,Tier 2,Owner,False,MagicBricks
93.0,1165.0,3.0,Apartment,Semi-Furnished,Prahlad Nagar,Tier 1,Owner,False,MagicBricks
219.0,3104.0,3.0,Apartment,Furnished,Gota,Tier 2,Owner,True,MagicBricks
42.0,720.0,2.0,Apartment,Unfurnished,Maninagar,Tier 2,Unknown,False,99acres
60.0,1330.0,2.0,Apartment,Furnished,Motera,Tier 2,Owner,False,MagicBricks
175.0,3260.0,4.0,Apartment,Furnished,Shela,Tier 2,Owner,False,MagicBricks
74.0,1165.0,3.0,Apartment,Furnished,Gota,Tier 2,Owner,False,MagicBricks
190.0,1750.0,4.0,Apartment,Furnished,Bodakdev,Tier 1,Owner,False,MagicBricks
85.0,1490.0,3.0,Apartment,Furnished,Bopal,Tier 1,Owner,False,MagicBricks
422.0,5825.0,4.0,Apartment,Furnished,Ambli,Tier 3,Owner,False,MagicBricks
74.0,1005.0,3.0,Apartment,Semi-Furnished,Shela,Tier 2,Owner,False,MagicBricks
200.0,2900.0,3.0,Apartment,Furnished,Chandkheda,Tier 2,Owner,False,MagicBricks
202.0,2095.0,4.0,Apartment,Furnished,Sarkhej,Tier 3,Owner,True,MagicBricks
170.0,2800.0,4.0,Apartment,Furnished,Motera,Tier 2,Owner,False,MagicBricks
300.0,2631.0,4.0,Apartment,Furnished,Bopal,Tier 1,Owner,False,MagicBricks
70.0,1500.0,3.0,Apartment,Unfurnished,Chandkheda,Tier 2,Unknown,False,99acres
290.0,4518.0,3.0,Apartment,Furnished,Shela,Tier 2,Owner,False,MagicBricks
110.0,2160.0,3.0,Apartment,Furnished,Chandkheda,Tier 2,Owner,False,MagicBricks
45.0,750.0,2.0,Apartment,Semi-Furnished,Chandkheda,Tier 2,Owner,False,MagicBricks
19.5,720.0,1.0,Apartment,Furnished,Amraiwadi,Tier 2,Owner,False,MagicBricks
78.0,1260.0,2.0,Apartment,Furnished,Naranpura,Tier 2,Builder,True,MagicBricks
59.5,1000.0,3.0,Apartment,Semi-Furnished,Ranip,Tier 2,Owner,False,MagicBricks
48.5,600.0,2.0,Apartment,Furnished,Vastral,Tier 2,Owner,False,MagicBricks
293.0,3843.0,4.0,Apartment,Furnished,Science City,Tier 2,Owner,True,MagicBricks
100.0,1150.0,4.0,Apartment,Semi-Furnished,Ambawadi,Tier 1,Owner,False,MagicBricks
24.0,600.0,1.0,Apartment,Furnished,Nikol,Tier 2,Owner,False,MagicBricks
31.5,950.0,2.0,Apartment,Semi-Furnished,Maninagar,Tier 2,Owner,False,MagicBricks
55.0,819.0,2.0,Apartment,Semi-Furnished,Vejalpur,Tier 2,Owner,False,MagicBricks
81.0,1190.0,3.0,Apartment,Furnished,Shela,Tier 2,Owner,False,MagicBricks
125.0,970.0,3.0,Apartment,Furnished,Maninagar,Tier 2,Owner,False,MagicBricks
32.5,385.0,2.0,Apartment,Furnished,Vinzol,Tier 3,Owner,False,MagicBricks
80.3,1100.0,3.0,Apartment,Furnished,Motera,Tier 2,Owner,True,MagicBricks
36.0,1233.0,2.0,Apartment,Furnished,Hathijan,Tier 3,Owner,False,MagicBricks
200.0,1071.0,3.0,Apartment,Semi-Furnished,Bopal,Tier 1,Owner,False,MagicBricks
140.0,935.0,3.0,Apartment,Semi-Furnished,Thaltej,Tier 1,Owner,False,MagicBricks
56.0,787.0,2.0,Apartment,Furnished,Usmanpura,Tier 3,Owner,False,MagicBricks
50.0,1070.0,2.0,Apartment,Semi-Furnished,Maninagar,Tier 2,Owner,False,MagicBricks
53.0,1000.0,2.0,Apartment,Semi-Furnished,Hansol,Tier 3,Owner,False,MagicBricks
83.0,972.0,3.0,Apartment,Furnished,Sarkhej,Tier 3,Owner,False,MagicBricks
105.0,1323.0,3.0,Apartment,Furnished,Motera,Tier 2,Owner,False,MagicBricks
149.0,1620.0,3.0,Apartment,Semi-Furnished,Thaltej,Tier 1,Owner,False,MagicBricks
300.0,2310.0,4.0,Apartment,Furnished,Bodakdev,Tier 1,Owner,False,MagicBricks
125.0,2205.0,3.0,Apartment,Furnished,Paldi,Tier 1,Owner,False,MagicBricks
62.0,1242.0,2.0,Apartment,Semi-Furnished,Gota,Tier 2,Owner,False,MagicBricks
24.0,750.0,1.0,Apartment,Furnished,Sarkhej,Tier 3,Owner,False,MagicBricks
52.0,787.0,2.0,Apartment,Semi-Furnished,Chandkheda,Tier 2,Owner,False,MagicBricks
40.0,1185.0,2.0,Apartment,Furnished,Bopal,Tier 1,Owner,False,MagicBricks
47.0,1377.0,3.0,Apartment,Semi-Furnished,Maninagar,Tier 2,Owner,False,MagicBricks
55.0,730.0,2.0,Apartment,Furnished,Bopal,Tier 1,Owner,False,MagicBricks
35.0,650.0,2.0,Apartment,Semi-Furnished,Bapunagar,Tier 2,Owner,False,MagicBricks
150.0,1485.0,4.0,Independent House,Unfurnished,Ghuma,Tier 2,Owner,False,99acres
60.0,625.0,2.0,Apartment,Furnished,Jagatpur,Tier 2,Owner,False,MagicBricks
39.6,1200.0,2.0,Apartment,Furnished,Shela,Tier 2,Owner,False,MagicBricks
155.0,2050.0,3.0,Apartment,Furnished,Prahlad Nagar,Tier 1,Owner,False,MagicBricks
190.0,2360.0,3.0,Apartment,Unfurnished,Ashram road,Tier 2,Unknown,False,99acres
36.0,935.0,2.0,Apartment,Furnished,Maninagar,Tier 2,Owner,False,MagicBricks
67.0,1170.0,2.0,Apartment,Furnished,Tragad,Tier 2,Owner,False,MagicBricks
215.0,2550.0,4.0,Apartment,Furnished,Satellite,Tier 1,Owner,False,MagicBricks
310.0,4392.0,4.0,Apartment,Furnished,Navrangpura,Tier 1,Owner,False,MagicBricks
34.0,360.0,1.0,Apartment,Furnished,Shantipura,Tier 3,Owner,True,MagicBricks
58.0,576.0,2.0,Apartment,Semi-Furnished,Shilaj,Tier 2,Owner,False,MagicBricks
317.0,2458.0,4.0,Apartment,Furnished,Thaltej,Tier 1,Owner,True,MagicBricks
95.0,1050.0,3.0,Apartment,Furnished,Chandkheda,Tier 2,Owner,False,MagicBricks
110.0,1200.0,3.0,Apartment,Furnished,Motera,Tier 2,Owner,False,MagicBricks
194.0,1388.0,3.0,Apartment,Furnished,Ambawadi,Tier 1,Owner,True,MagicBricks
66.0,980.0,2.0,Apartment,Semi-Furnished,Nikol,Tier 2,Owner,False,MagicBricks
75.0,1915.0,3.0,Apartment,Furnished,Vasna,Tier 2,Owner,True,MagicBricks
155.0,2160.0,3.0,Apartment,Semi-Furnished,Bhadaj,Tier 3,Owner,False,MagicBricks
35.0,569.0,2.0,Apartment,Semi-Furnished,Narol,Tier 2,Owner,False,MagicBricks
125.0,1685.0,3.0,Apartment,Furnished,Tragad,Tier 2,Owner,True,MagicBricks
60.0,825.0,5.0,Apartment,Furnished,Asarwa,Tier 3,Owner,False,MagicBricks
33.0,580.0,2.0,Apartment,Semi-Furnished,Vastral,Tier 2,Owner,False,MagicBricks
60.0,1530.0,3.0,Apartment,Furnished,Shilaj,Tier 2,Owner,False,MagicBricks
215.0,1554.0,3.0,Apartment,Furnished,Bopal,Tier 1,Owner,False,MagicBricks
70.0,600.0,2.0,Apartment,Semi-Furnished,Amraiwadi,Tier 2,Owner,False,MagicBricks
250.0,2529.0,4.0,Apartment,Semi-Furnished,Naroda,Tier 3,Owner,True,99acres
120.0,1030.0,3.0,Apartment,Furnished,Bopal,Tier 1,Owner,False,MagicBricks
271.0,4518.0,3.0,Apartment,Furnished,Shela,Tier 2,Owner,False,MagicBricks
110.0,1400.0,3.0,Apartment,Furnished,Amraiwadi,Tier 2,Owner,False,MagicBricks
148.0,1850.0,3.0,Apartment,Furnished,Vaishno Devi,Tier 2,Owner,False,MagicBricks
185.0,2520.0,3.0,Apartment,Furnished,Gota,Tier 2,Unknown,True,MagicBricks
150.0,1035.0,2.0,Independent House,Unfurnished,Nikol,Tier 2,Unknown,False,99acres
100.0,1190.0,3.0,Apartment,Semi-Furnished,Ghuma,Tier 2,Owner,False,MagicBricks
15.5,250.0,1.0,Apartment,Furnished,Narol,Tier 2,Owner,False,MagicBricks
86.0,1080.0,2.0,Apartment,Furnished,Satellite,Tier 1,Owner,False,MagicBricks
